pathogen_name,pathogen_type,frequency_hz,disease_count,associated_diseases,target_organs
Ehrlichia ewingii,Necunoscut,bacterie,20,"Hepatita D; Perihepatita gonococică (Sindromul Fitz-Hugh-Curtis); Hepatita cronică; Hepatita B; Hepatita HSV; FICAT — HEPATITA; Ehrlichioza Granulocitară Umană (EGU); Hepatita autoimună; Steatoza hepatică și hepatita steatozică; Hepatita C; Ehrlichioza Monocitară Umană (EMU); Infecții virale (ex. Hepatita B, C); Hepatita toxică și indusă de medicamente; Hepatita acută virală; Hepatita E; HEPATITA; Hepatita alcoolică; Hepatita acută fulminantă; Hepatita cronică virală; Hepatita G",erythrocutes; hepar; blood; granulocytes
Cytomegalovirus,Virus,"408,350",5,Pneumonia; MONONUCLEOZA; ENCEFALITA; Hepatita C; HEPATITA,bronchi; lymph; occipital cerebrum; pulma; cerebrum totalis; pharynx; frontal cerebrum; hepar; lien
Cytomegalovirus (CMV) antigen,409,410.75,5,Pneumonia; MONONUCLEOZA; ENCEFALITA; Hepatita C; HEPATITA,bronchi; lymph; occipital cerebrum; pulma; cerebrum totalis; pharynx; frontal cerebrum; hepar; lien
Cytomegalovirus (congenital),Necunoscut,"9.242.959,43",5,Pneumonia; MONONUCLEOZA; ENCEFALITA; Hepatita C; HEPATITA,bronchi; lymph; occipital cerebrum; pulma; cerebrum totalis; pharynx; frontal cerebrum; hepar; lien
Herpes simplex,Virus,"7.627.853,64",6,Herpes simplex genital; HERPES GENITAL SAU HERPES VAGINAL; ENCEFALITA; Esofagita; Keratita cu Acanthamoeba; ESOFAG,vagina; cutis; conjunctiva; occipital cerebrum; cerebrum totalis; crystalline lens; esophagus; cornea; frontal cerebrum; vitreous body
Herpes simplex 1,"292, 345.5","291,250",1,ENCEFALITA,cerebrum totalis; frontal cerebrum; occipital cerebrum
Herpes simplex 2 (frotiu proaspat),"360, 355",362.9,6,Herpes simplex genital; HERPES GENITAL SAU HERPES VAGINAL; ENCEFALITA; Esofagita; Keratita cu Acanthamoeba; ESOFAG,vagina; cutis; conjunctiva; occipital cerebrum; cerebrum totalis; crystalline lens; esophagus; cornea; frontal cerebrum; vitreous body
Herpes simplex 2 – unguent proaspăt,"360, 355",362.9,6,Herpes simplex genital; HERPES GENITAL SAU HERPES VAGINAL; ENCEFALITA; Esofagita; Keratita cu Acanthamoeba; ESOFAG,vagina; cutis; conjunctiva; occipital cerebrum; cerebrum totalis; crystalline lens; esophagus; cornea; frontal cerebrum; vitreous body
Influenza,Virus,"9.839.909,25",4,GRIPA; Miocardita; Pneumonia; ENCEFALITA,bronchi; trachea; myocardium; occipital cerebrum; pulma; cerebrum totalis; mucosa nasalis; frontal cerebrum; cor
Haemophilus influenzae – meningită bacteriană,336,336.41,4,GRIPA; Miocardita; Pneumonia; ENCEFALITA,bronchi; trachea; myocardium; occipital cerebrum; pulma; cerebrum totalis; mucosa nasalis; frontal cerebrum; cor
Influenza A (H1N1),Necunoscut,"7.733.435,29",4,GRIPA; Miocardita; Pneumonia; ENCEFALITA,bronchi; trachea; myocardium; occipital cerebrum; pulma; cerebrum totalis; mucosa nasalis; frontal cerebrum; cor
Influenza A and B,Necunoscut,"313,000",4,GRIPA; Miocardita; Pneumonia; ENCEFALITA,bronchi; trachea; myocardium; occipital cerebrum; pulma; cerebrum totalis; mucosa nasalis; frontal cerebrum; cor
Influenza A și B (vaccin gripa),"320, 315",323.9,4,GRIPA; Miocardita; Pneumonia; ENCEFALITA,bronchi; trachea; myocardium; occipital cerebrum; pulma; cerebrum totalis; mucosa nasalis; frontal cerebrum; cor
Influenza A și B – injecție de influență,"320, 315",323.9,4,GRIPA; Miocardita; Pneumonia; ENCEFALITA,bronchi; trachea; myocardium; occipital cerebrum; pulma; cerebrum totalis; mucosa nasalis; frontal cerebrum; cor
Influenza B,Necunoscut,4.814.212,4,GRIPA; Miocardita; Pneumonia; ENCEFALITA,bronchi; trachea; myocardium; occipital cerebrum; pulma; cerebrum totalis; mucosa nasalis; frontal cerebrum; cor
Influenza vaccination,Necunoscut,468.952,4,GRIPA; Miocardita; Pneumonia; ENCEFALITA,bronchi; trachea; myocardium; occipital cerebrum; pulma; cerebrum totalis; mucosa nasalis; frontal cerebrum; cor
Measles antigen (Rujeola),Virus,"369,500",2,Pneumonia; ENCEFALITA,bronchi; occipital cerebrum; pulma; cerebrum totalis; frontal cerebrum
Measles antigen,Necunoscut,-,2,Pneumonia; ENCEFALITA,bronchi; occipital cerebrum; pulma; cerebrum totalis; frontal cerebrum
Measles antigen (rujeola),371,373.0,2,Pneumonia; ENCEFALITA,bronchi; occipital cerebrum; pulma; cerebrum totalis; frontal cerebrum
"Rabies lyssavirus (Rabie, turbare)",Virus,4.812.543,1,ENCEFALITA,cerebrum totalis; frontal cerebrum; occipital cerebrum
West Nile,Virus,9.832.234,1,ENCEFALITA,cerebrum totalis; frontal cerebrum; occipital cerebrum
West Nile virus,Necunoscut,virus,1,ENCEFALITA,cerebrum totalis; frontal cerebrum; occipital cerebrum
Balamuthia mandrillaris,Parazit,"278,000",4,FATA; Encefalita amoebiană granulomatoasă (Acanthamoeba spp.); LEZIUNI; ENCEFALITA,nervus facialis; muscle; granuloma dentis; cutis; os; occipital cerebrum; cerebrum totalis; bones; frontal cerebrum
Trypanosoma cruzi (țesut de creier),463,465.65,1,ENCEFALITA,cerebrum totalis; frontal cerebrum; occipital cerebrum
Acanthamoeba culbertsoni,Necunoscut,-,3,FATA; Encefalita amoebiană granulomatoasă (Acanthamoeba spp.); ENCEFALITA,nervus facialis; granuloma dentis; cutis; os; occipital cerebrum; cerebrum totalis; bones; frontal cerebrum
Actinomycetem comitans,Bacterie,6.846.464,4,Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Endocardita gonococică; Endocardita bacteriană,mitrai valve; endocardium; myocardium; cor
Staphilococcus aureus,Bacterie,"376,270",9,"Endocardita bacteriană; Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Pneumonia; Osteomielita acută și cronică; Endocardita gonococică; Impetigo; Infecții cutanate (Impetigo, erizipel, celulită); Sindromul streptococic asemănător șocului toxic",bronchi; cutis; renes; os; periosteum; mitrai valve; myocardium; blood; pulma; bones; endocardium; cor
Bartonella quintana,Necunoscut,bacterie,10,"Febra de Trincee; Febra recurentă transmisă de păduchi (FRTP); Endocardita bacteriană; Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Febra recurentă transmisă de căpușe (FRTC); Endocardita gonococică; Infecții cu Bartonella (Boala Zgârieturii de Pisică, Febra Oroya, Veruca Peruană, Angiomatoza Bacilară); Febra vaporilor de metal; Febra mușcăturii de șobolan",erythrocutes; bronchi; cutis; renes; mitrai valve; myocardium; blood; pulma; lymph; endocardium; hepar; cor
Beta streptococcus (dinte),385,387.4,4,Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Endocardita gonococică; Endocardita bacteriană,mitrai valve; endocardium; myocardium; cor
Capnocytophaga ochracea,Necunoscut,bacterie,6,Infecții; Endocardita bacteriană; Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Infecții produse de mușcătura de om; Endocardita gonococică,erythrocutes; cutis; membrana synovalis; mitrai valve; myocardium; blood; lymph; endocardium; cor
Chlamydia psittaci (ornitoza),Necunoscut,bacterie,22,"Hepatita D; Perihepatita gonococică (Sindromul Fitz-Hugh-Curtis); Endocardita bacteriană (streptococi viridans sau enterococi); Hepatita cronică; Hepatita B; Hepatita HSV; FICAT — HEPATITA; Hepatita autoimună; Steatoza hepatică și hepatita steatozică; Endocardita gonococică; Hepatita C; Infecții virale (ex. Hepatita B, C); Hepatita toxică și indusă de medicamente; Hepatita acută virală; Hepatita E; HEPATITA; Hepatita alcoolică; Endocardita bacteriană; Endocardita Infecțioasă; Hepatita acută fulminantă; Hepatita cronică virală; Hepatita G",mitrai valve; myocardium; endocardium; hepar; cor
Corinebacterium xerosis,Necunoscut,bacterie,7,"Infecții; Endocardita bacteriană; Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Endocardita gonococică; Infecții cutanate (Impetigo, erizipel, celulită); Infecții cutanate (e.g., celulită, ecthyma gangrenosum)",erythrocutes; cutis; mitrai valve; myocardium; blood; lymph; endocardium; cor
Corynebacterium xerosis,316.0,"315,650",7,"Infecții; Endocardita bacteriană; Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Endocardita gonococică; Infecții cutanate (Impetigo, erizipel, celulită); Infecții cutanate (e.g., celulită, ecthyma gangrenosum)",erythrocutes; cutis; mitrai valve; myocardium; blood; lymph; endocardium; cor
Enterococcus faecium,Necunoscut,bacterie,7,Infecții urinare; Infecții; Endocardita bacteriană; Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Infecții urinare și renale; Endocardita gonococică,erythrocutes; renes; mitrai valve; myocardium; blood; lymph; endocardium; vesies urinaria; cor
Micrococcus luteus,371,373.0,18,"Infecții cauzate de Haemophilus ducreyi (chancre moale); Infecții produse de Aeromonas și Plesiomonas; Infecții prin zgârieturi de pisică (Boala zgârieturii de pisică); Infecții; Endocardita bacteriană; Infecții de transmitere sexuală și ale aparatului reproducător; Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Infecții produse prin mușcături de câine; Infecții produse de arsuri termice; Infecții provocate de Haemophilus influenzae tip b (Hib); Infecții produse de mușcătura de om; Endocardita gonococică; Infecții legate de schimbările climatice; Infecții cu Bartonella (Boala Zgârieturii de Pisică, Febra Oroya, Veruca Peruană, Angiomatoza Bacilară); Infecții produse prin mușcături de pisică; Infecții produse de mușcăturile șerpilor veninoși; Infecții cauzate de Haemophilus, Bordetella etc.",uterus; uterine cervix; prostata; renes; mitrai valve; myocardium; mucosa nasalis; dura mater encephali; blood; endocardium; auditory ossicle; vagina; tympanic cavity; membrana synovalis; nos. kpl. sinusitis; cochlea; tuba auditiva; erythrocutes; medulla spinalis; cutis; lymph; pulma; cor
Staphylococcus aureus (cultură),Necunoscut,380.85,4,Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Endocardita gonococică; Endocardita bacteriană,mitrai valve; endocardium; myocardium; cor
"Staphylococcus aureus – infecție dentară, abces, cardiopatie","378, 381",381,5,Endocardita bacteriană; Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Miocardita; Endocardita gonococică,mitrai valve; endocardium; myocardium; cor
Streptococcus mutis,Necunoscut,bacterie,4,Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Endocardita gonococică; Endocardita bacteriană,mitrai valve; endocardium; myocardium; cor
Alpha Streptococcus,Bacterie,6.484.846,2,"Endocardita bacteriană (streptococi viridans sau enterococi); Infecții sistemice și sepsis (e.g., bacteriemie, fungemie)",erythrocutes; mitrai valve; myocardium; blood; lymph; endocardium; cor
Alpha-hemolytic Streptococcus,Bacterie,"369,750",2,Endocardita bacteriană (streptococi viridans sau enterococi); Pneumonia,bronchi; mitrai valve; myocardium; pulma; endocardium; cor
Streptococcus mitis,Bacterie,"313,800",2,"Endocardita bacteriană (streptococi viridans sau enterococi); Infecții sistemice și sepsis (e.g., bacteriemie, fungemie)",erythrocutes; mitrai valve; myocardium; blood; lymph; endocardium; cor
Neisseria gonorrhea – gonoree,334,336.5,2,SALPINGITA; Endocardita gonococică,uterus; endometrium; mitrai valve; myocardium; endocardium; uterine tube; cor
Bacillus spp,Necunoscut,bacterie,15,"Infecții cauzate de Haemophilus ducreyi (chancre moale); Infecții produse de Aeromonas și Plesiomonas; Infecții prin zgârieturi de pisică (Boala zgârieturii de pisică); Infecții; Endoftalmita; Infecții de transmitere sexuală și ale aparatului reproducător; Infecții produse prin mușcături de câine; Infecții produse de arsuri termice; Infecții provocate de Haemophilus influenzae tip b (Hib); Infecții produse de mușcătura de om; Infecții legate de schimbările climatice; Infecții cu Bartonella (Boala Zgârieturii de Pisică, Febra Oroya, Veruca Peruană, Angiomatoza Bacilară); Infecții produse prin mușcături de pisică; Infecții produse de mușcăturile șerpilor veninoși; Infecții cauzate de Haemophilus, Bordetella etc.",uterus; uterine cervix; prostata; renes; mucosa nasalis; dura mater encephali; vitreous body; conjunctiva; blood; auditory ossicle; vagina; tympanic cavity; membrana synovalis; crystalline lens; cornea; nos. kpl. sinusitis; tuba auditiva; cochlea; erythrocutes; medulla spinalis; cutis; lymph; pulma
Escherichia coli,Bacterie,"356,000",8,Infecții urinare; Infecții; GASTROENTERITA; Infecții urinare și renale; ENTERITA; Sindromul hemolitic-uremic; URINA (INFECȚII URINARE) SAU CISTITA; Septicemie bacteriană,duodenum; erythrocutes; cardia; pylorus; renes; lymph; blood; ileum; ventriculus; vesies urinaria; jejunum; cor
Salmonella paratyphi,Bacterie,"365,000",2,ENTERITA; GASTROENTERITA,duodenum; cardia; pylorus; ileum; ventriculus; jejunum
Acido micotox tenuazonico,☠️ Toxină,8.646.464,2,ENTERITA; GASTROENTERITA,duodenum; cardia; pylorus; ileum; ventriculus; jejunum
E. coli,Necunoscut,bacterie,8,Infecții urinare; Infecții; GASTROENTERITA; Infecții urinare și renale; ENTERITA; Sindromul hemolitic-uremic; URINA (INFECȚII URINARE) SAU CISTITA; Septicemie bacteriană,duodenum; erythrocutes; cardia; pylorus; renes; lymph; blood; ileum; ventriculus; vesies urinaria; jejunum; cor
Erwinia carotovora,373,"368,100",3,ENTERITA; GASTROENTERITA; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS),duodenum; bronchi; cardia; pylorus; pulma; ileum; ventriculus; jejunum
Escherichia coli (E. coli),"356, 393",356,8,Infecții urinare; Infecții; GASTROENTERITA; Infecții urinare și renale; ENTERITA; Sindromul hemolitic-uremic; URINA (INFECȚII URINARE) SAU CISTITA; Septicemie bacteriană,duodenum; erythrocutes; cardia; pylorus; renes; lymph; blood; ileum; ventriculus; vesies urinaria; jejunum; cor
Escherichia coli (E. coli) – bacterie intestinală,"356, 393",356,8,Infecții urinare; Infecții; GASTROENTERITA; Infecții urinare și renale; ENTERITA; Sindromul hemolitic-uremic; URINA (INFECȚII URINARE) SAU CISTITA; Septicemie bacteriană,duodenum; erythrocutes; cardia; pylorus; renes; lymph; blood; ileum; ventriculus; vesies urinaria; jejunum; cor
Salmonella typhimurium (pentru febra tifoida),Necunoscut,1.411.111,3,"ENTERITA; GASTROENTERITA; Infecții sistemice și sepsis (e.g., bacteriemie, fungemie)",duodenum; erythrocutes; cardia; pylorus; lymph; blood; ileum; ventriculus; jejunum; cor
Salmonella enteritidis (pentru salmoneloza),Bacterie,"329,000",2,ENTERITA; GASTROENTERITA,duodenum; cardia; pylorus; ileum; ventriculus; jejunum
Salmonella typhimurium (pentru salmoneloza),Bacterie,"382,300",2,ENTERITA; GASTROENTERITA,duodenum; cardia; pylorus; ileum; ventriculus; jejunum
Salmonella typhimurium,"355, 386, 390",386.55,2,ENTERITA; GASTROENTERITA,duodenum; cardia; pylorus; ileum; ventriculus; jejunum
Gastrothylax elongatus,Parazit,"451,900",1,ENTERITA,duodenum; ileum; jejunum
Macracanthorhynchus,Parazit,"438,850",1,ENTERITA,duodenum; ileum; jejunum
Macracanthorphnchus,440,442.8,2,ENTERITA; Peritonita la amidon,duodenum; ileum; jejunum; peritonaeum
Ancylostoma braziliense (dezvoltat),401,403.25,3,ENTERITA; Larva migrans cutanată; Larva migrans viscerală și oculară,duodenum; cutis; petina et chorioidea; ileum; hepar; jejunum
Ancylostoma caninum,"400, 393, 386","383,100",3,ENTERITA; Larva migrans cutanată; Larva migrans viscerală și oculară,duodenum; cutis; petina et chorioidea; ileum; hepar; jejunum
Cabbage Black Rot,Necunoscut,-,3,ENTERITA; GASTROENTERITA; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS),duodenum; bronchi; cardia; pylorus; pulma; ileum; ventriculus; jejunum
Clostridium perfringens,Necunoscut,bacterie,1,ENTERITA,duodenum; ileum; jejunum
Echinostema revolutum,Necunoscut,parazit,1,ENTERITA,duodenum; ileum; jejunum
Eimeria stiedae,Necunoscut,-,2,ENTERITA; HEPATITA,duodenum; ileum; hepar; jejunum
Erwinia amylovora,350,352.1,2,ENTERITA; GASTROENTERITA,duodenum; cardia; pylorus; ileum; ventriculus; jejunum
Murine norovirus (MNV),Necunoscut,virus,3,ENTERITA; Hepatita acută virală; GASTROENTERITA,duodenum; cardia; pylorus; ileum; ventriculus; hepar; jejunum
Pelomyxa carolinensis,422,424.5,1,ENTERITA,duodenum; ileum; jejunum
Plasmodiophora brassicae (cabbage clubroot),Fără frecvență notată,-,2,ENTERITA; GASTROENTERITA,duodenum; cardia; pylorus; ileum; ventriculus; jejunum
Potato Ring Rot*,Necunoscut,435,3,ENTERITA; INELAR; GASTROENTERITA,duodenum; cardia; pylorus; ileum; ventriculus; jejunum; Sistemic
Rotifer,Necunoscut,-,2,ENTERITA; GASTROENTERITA,duodenum; cardia; pylorus; ileum; ventriculus; jejunum
Salmonella typhimurium – intoxicație alimentară,351,386.55,2,ENTERITA; GASTROENTERITA,duodenum; cardia; pylorus; ileum; ventriculus; jejunum
Spori subterminali (frotiu bac.),Necunoscut,385.95,1,ENTERITA,duodenum; ileum; jejunum
Trichomonas muris,Necunoscut,-,1,ENTERITA,duodenum; ileum; jejunum
Troglodytella abrassari 2nd range,Necunoscut,"416,900",1,ENTERITA,duodenum; ileum; jejunum
Gaffkya tetragena,Bacterie,"344,850",5,Epiglotita; Sinuzita fungică invazivă; Infecții; Tuberculoza căilor respiratorii superioare; Otita medie (C. trachomatis),tympanic cavity; erythrocutes; nos. kpl. sinusitis; bronchi; mem. max. sinus; lymph; blood; pulma; mucosa nasalis; larynx; pharynx; mem. frontal sinus; cochlea; tuba auditiva; auditory ossicle
Gaffkya tetragena – infecție respiratorie,350,352.5,5,Epiglotita; Sinuzita fungică invazivă; Infecții; Tuberculoza căilor respiratorii superioare; Otita medie (C. trachomatis),tympanic cavity; erythrocutes; nos. kpl. sinusitis; bronchi; mem. max. sinus; lymph; blood; pulma; mucosa nasalis; larynx; pharynx; mem. frontal sinus; cochlea; tuba auditiva; auditory ossicle
Paragonimus UBS,Parazit,"6.154.855,25",2,EPILEPSIE; Tuse și Hemoptizie,erythrocutes; bronchi; blood; occipital cerebrum; pulma; cerebrum totalis; frontal cerebrum
Taenia solium (cysticercus),Parazit,"475,000",3,EPILEPSIE; TENIA; Hipertensiune,renes; occipital cerebrum; colon; cerebrum totalis; ileum; frontal cerebrum; arteries; cor
Taenia solium,Necunoscut,"444,000",3,EPILEPSIE; TENIA; Hipertensiune,renes; occipital cerebrum; colon; cerebrum totalis; ileum; frontal cerebrum; arteries; cor
Taenia solium oua,Necunoscut,-,10,MUȘCHI — MIOPATIE; MUȘCHI — TETANOS; MUȘCHI (ÎN GENERAL); EPILEPSIE; MUȘCHI — CONVULSII; MUȘCHI — FIBROMATOZĂ; MUȘCHI-DISTROFIE MUSCULARĂ; MUȘCHI — MIOZITA; MUȘCHI — TRISMUS; MUȘCHI — MIASTENIE,medulla spinalis; muscle; nervus trigeminus; occipital cerebrum; cerebrum totalis; frontal cerebrum
Corynebacterium pseudodiphthericum,Necunoscut,-,5,GAT — FARINGITA; Faringita streptococică; Infecții; Tuberculoza căilor respiratorii superioare; FARINGITA,erythrocutes; bronchi; lymph; blood; pulma; larynx; pharynx
"Streptococcus, viruses and bacteria",Bacterie,"6.340.213,14",4,FARINGITA; Infecții anaerobe mixte; Infecții; Sinuzita fungică invazivă,erythrocutes; cutis; mem. max. sinus; lymph; blood; peritonaeum; mucosa nasalis; larynx; pharynx; mem. frontal sinus; nos. kpl. sinusitis
Un virus de răceală HRC,Necunoscut,364.9,1,FARINGITA,larynx; pharynx
Neisseria meningitides (Boala meningococica),Bacterie,5.891.423,1,FATA,nervus facialis; os; cutis; bones
Spirillum serpens,Bacterie,"378,350",6,"Febra recurentă transmisă de păduchi (FRTP); Febra de Trincee; Febra recurentă transmisă de căpușe (FRTC); Infecții cu Bartonella (Boala Zgârieturii de Pisică, Febra Oroya, Veruca Peruană, Angiomatoza Bacilară); Febra vaporilor de metal; Febra mușcăturii de șobolan",erythrocutes; bronchi; cutis; renes; lymph; blood; pulma; hepar
Borrelia duttoni,Necunoscut,bacterie,8,"FRICA; Febra recurentă transmisă de păduchi (FRTP); Febra de Trincee; Infecții cauzate de Haemophilus ducreyi (chancre moale); Febra recurentă transmisă de căpușe (FRTC); Infecții cu Bartonella (Boala Zgârieturii de Pisică, Febra Oroya, Veruca Peruană, Angiomatoza Bacilară); Febra vaporilor de metal; Febra mușcăturii de șobolan",erythrocutes; tympanic cavity; bronchi; cutis; renes; tuba auditiva; blood; lymph; pulma; sympathicus; hepar; corpus amygdaloid.; auditory ossicle; cochlea
Borrelia hermsii,Necunoscut,bacterie,6,"Febra recurentă transmisă de păduchi (FRTP); Febra de Trincee; Febra recurentă transmisă de căpușe (FRTC); Infecții cu Bartonella (Boala Zgârieturii de Pisică, Febra Oroya, Veruca Peruană, Angiomatoza Bacilară); Febra vaporilor de metal; Febra mușcăturii de șobolan",erythrocutes; bronchi; cutis; renes; lymph; blood; pulma; hepar
Borrelia parkeri,Necunoscut,bacterie,6,"Febra recurentă transmisă de păduchi (FRTP); Febra de Trincee; Febra recurentă transmisă de căpușe (FRTC); Infecții cu Bartonella (Boala Zgârieturii de Pisică, Febra Oroya, Veruca Peruană, Angiomatoza Bacilară); Febra vaporilor de metal; Febra mușcăturii de șobolan",erythrocutes; bronchi; cutis; renes; lymph; blood; pulma; hepar
Legionella pneumophila (Legioneloza),Bacterie,5.142.122,1,Febra Pontiac,bronchi; pulma
Coxiella burnetii,Febra q,bacterie,19,"Hepatita D; Perihepatita gonococică (Sindromul Fitz-Hugh-Curtis); Febra Q; Hepatita cronică; Hepatita B; Hepatita HSV; FICAT — HEPATITA; Hepatita autoimună; Steatoza hepatică și hepatita steatozică; Hepatita C; Infecții virale (ex. Hepatita B, C); Hepatita toxică și indusă de medicamente; Hepatita acută virală; Hepatita E; HEPATITA; Hepatita alcoolică; Hepatita acută fulminantă; Hepatita cronică virală; Hepatita G",hepar; cor; pulma
Coxiella burnetii (Febra Q),Bacterie,5.148.542,19,"Hepatita D; Perihepatita gonococică (Sindromul Fitz-Hugh-Curtis); Febra Q; Hepatita cronică; Hepatita B; Hepatita HSV; FICAT — HEPATITA; Hepatita autoimună; Steatoza hepatică și hepatita steatozică; Hepatita C; Infecții virale (ex. Hepatita B, C); Hepatita toxică și indusă de medicamente; Hepatita acută virală; Hepatita E; HEPATITA; Hepatita alcoolică; Hepatita acută fulminantă; Hepatita cronică virală; Hepatita G",hepar; cor; pulma
Borrelia anserina,Necunoscut,bacterie,2,Febra recurentă transmisă de păduchi (FRTP); Febra recurentă transmisă de căpușe (FRTC),erythrocutes; blood
Salmonella enteritidis (pentru febra tifoida),Necunoscut,1.411.111,18,"Infecții virale (ex. Hepatita B, C); Hepatita D; Perihepatita gonococică (Sindromul Fitz-Hugh-Curtis); Hepatita cronică virală; Hepatita toxică și indusă de medicamente; Hepatita autoimună; Hepatita acută fulminantă; Hepatita acută virală; Steatoza hepatică și hepatita steatozică; Hepatita cronică; Hepatita B; HEPATITA; Hepatita E; FICAT — HEPATITA; Hepatita HSV; Hepatita G; Hepatita alcoolică; Hepatita C",hepar
Demodex folliculorum,Necunoscut,-,1,FOLICULITA,cutis
Campylobacter pyloridis,Bacterie,"352,000",4,ULCER PEPTIC SAU GASTRIC (la duoden sau stomac); GASTRITA; Ulcer peptic și tulburări conexe; Gastrita,duodenum; cardia; pylorus; ileum; ventriculus; jejunum
Penicillium mycelium*,Necunoscut,409,1,GAT - NOD IN GAT,larynx; pharynx
Prosthogonimus macrorchis (oua),401,404.75,1,GAT - NOD IN GAT,larynx; pharynx
Depunere pe dinți I,Necunoscut,298.25,2,GINGIVITA; GINGII — GINGIVITA ACUTA,teeth
Depunere pe dinți II,Necunoscut,284,1,GINGIVITA,teeth
Endamoeba gingivalis trophozoite,438,441.0,1,GINGIVITA,teeth
Prevotella intermedia,Necunoscut,bacterie,4,Infecții anaerobe mixte; GINGIVITA; Infecții; SARCINA,erythrocutes; uterus; cutis; endometrium; ovaria; lymph; blood; peritonaeum; teeth
Children's flu vaccine,Necunoscut,951.740,2,INCONTINENTA LA COPII; GRIPA,bronchi; medulla spinalis; trachea; pulma; mucosa nasalis; vesies urinaria
Dioctophyme renale,Parazit,"230,000",1,HEMATURIE,renes
Babesia microti,Necunoscut,"250,000",3,Insuficiența renală cronică; Hemoliza datorată traumatismelor intracirculatorii; Insuficiența renală acută,erythrocutes; renes; blood
Hemoroizi (Grabovoi),Necunoscut,altele,1,HEMOROIZI,tumica mucosa coli; colon
Epstein Barr,Virus,"372,500",5,LIMFOM; MONONUCLEOZA; M.N.I.: (MONONUCLEOZA INFECȚIOASĂ); Hepatita E; HEPATITA,lymph; bone marrow; pharynx; hepar; lien
Epstein Barr virus (EBV),"380, 375",382.85,5,LIMFOM; MONONUCLEOZA; M.N.I.: (MONONUCLEOZA INFECȚIOASĂ); Hepatita E; HEPATITA,lymph; bone marrow; pharynx; hepar; lien
Epstein Barre virus (EBV),"380, 375",382.85,5,LIMFOM; MONONUCLEOZA; M.N.I.: (MONONUCLEOZA INFECȚIOASĂ); Hepatita E; HEPATITA,lymph; bone marrow; pharynx; hepar; lien
Histomonas meleagridis,Parazit,"376,550",1,HEPATITA,hepar
Histomonas meleagridis (ficat),377,378.7,1,HEPATITA,hepar
Herpes simplex 2,Necunoscut,5.130.655,5,Herpes simplex genital; HERPES GENITAL SAU HERPES VAGINAL; Infecții oculare cu HSV; Infecția neonatală cu HSV; Infecție cu Dermatofite,vagina; cutis; conjunctiva; cerebrum totalis; crystalline lens; cornea; hepar; vitreous body
Herpes No 2,Necunoscut,virus,2,Herpes simplex genital; HERPES GENITAL SAU HERPES VAGINAL,vagina; cutis
Herpes Zoster (zona zoster),418,420.2,5,Herpes Zoster (Zona Zoster); Herpes zoster; Herpes zoster oftalmic; Herpes Zoster; Herpes Zoster Oftalmic,cutis; conjunctiva; crystalline lens; cornea; vitreous body
Herpes zoster – zona zoster,418,420.2,5,Herpes Zoster (Zona Zoster); Herpes zoster; Herpes zoster oftalmic; Herpes Zoster; Herpes Zoster Oftalmic,cutis; conjunctiva; crystalline lens; cornea; vitreous body
Corona Wuhan,Virus,"9.243.233,75",2,Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); Sindromul de detresă respiratorie acută (ARDS),bronchi; pulma
Corona,Necunoscut,"5.494.153,18",2,Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); Sindromul de detresă respiratorie acută (ARDS),bronchi; pulma
Corona (Craiova),Necunoscut,4.986.489,2,Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); Sindromul de detresă respiratorie acută (ARDS),bronchi; pulma
Corona virus,Necunoscut,virus,2,Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); Sindromul de detresă respiratorie acută (ARDS),bronchi; pulma
Leptospira interrogans,Bacterie,"397,050",3,Insuficiență renală cronică; Icter; Insuficiență renală acută,bilirubin; renes
Leptospira interrogans (spirocheta),399,401.1,3,Insuficiență renală cronică; Icter; Insuficiență renală acută,bilirubin; renes
Septospira biflexa,Necunoscut,bacterie,1,Icter,bilirubin
Dipylidium caninum (scolex),Necunoscut,"451,950",2,INCONTINENTA LA COPII; Prurit,erythrocutes; medulla spinalis; cutis; blood; vesies urinaria
Monocystis agilis,Necunoscut,-,1,Infecție cu Dermatofite,cutis
Bacillus sterothermophilus,Necunoscut,-,1,Infecții,erythrocutes; lymph; blood
